,Date,Username,Tweet,label
10,2023-04-03 22:01:03+00:00,Beritabaruco,"Jika Disanksi FIFA, PSSI Punya Opsi Gabung CONIFA https://t.co/n0mKWgdOx9 #CONIFA #FIFA #PialaDuniaU20 #PSSI #TimnasIndonesia https://t.co/aeodOQYze4",0
11,2023-04-03 21:56:40+00:00,afrizal_ahmad8,"Erick thohir lakukan pembubaran tim loc panitia piala dunia u-20
#u20 
#pssi 
#pssiindonesia 
#fifaworldcup 
#guebersamaerickthohir 
#BangkitBersamaET https://t.co/t6twZuSOSl",0
12,2023-04-03 21:32:09+00:00,h1_kane,Najwa : Mereka yang menolak Israel mempunyai argumen yang valid dan bukan semata politik praktis #sepakbola #u20 #pssi #israel https://t.co/YDxlxV2MN9,0
13,2023-04-03 21:32:08+00:00,h1_kane,Menurut Najwa Shihab sepakbola itu selalu erat kaitannya dengan politik #sepakbola #u20 #pssi #israel https://t.co/EfKIM6GJHU,0
14,2023-04-03 21:29:57+00:00,DwiKurn56652175,"Merasa tersakiti oleh rakyat sendiri hanya karna nolak israel. Bro lu main WC lewat jalur mana. Prestasi?? Wkwkwk lawak 
This Is about kanjuruhan nt about israel
#pssi",0
15,2023-04-03 19:50:18+00:00,arimul,@yunantyo_yas FX Rudy sebagai seorang Katolik seharusnya tahu Alkitab mengatakan Siapa mengutuk Israel akan terkutuk - Kej 27:29. Kita liat saja @KatolikG @bimaskatolikri #katolik #fxrudy #u20 #fyp #sepakbola #fifa #pssi #jokowi,0
16,2023-04-03 18:09:27+00:00,MasvansaFPL,"Indonesia dihukum FIFA, agar siap menjadi tuan rumah World Cup U17 menggantikan Peru! 

YES or NO? Or comment 👇🏻

#FPLCommunity #PSSI #WorldcupU17 #FIFA",1
17,2023-04-03 17:14:44+00:00,nMahendra31,"Ada yang batal tapi bukan puasa? 

#PSSI #FIFA #PialaDuniaU20",0
18,2023-04-03 17:13:35+00:00,beritajatimcom,"Arkhan Fikri Belum Bisa Lupakan Kegagalan Timnas U-20 Tampil di Piala Dunia.

Malang (https://t.co/ksziGGp1k3) – Gelandang Timnas U-20, Arkhan Fikri belum bisa melupakan kegagalan… https://t.co/EMvRpeFkbT #Olahraga #ArkhanFikri #fifa #pialaduniau20 #pssi via @beritajatimcom",0
19,2023-04-03 17:11:37+00:00,AFFPresse,"2022/23 BRI Liga 1 - FULLTIME RESULT
 
#AFF
Graphic Courtesy #BRILiga1
#PSSI https://t.co/erKvbtWTDk",1
20,2023-04-03 16:56:12+00:00,aris3ono,#Palestine #Israeli #indonesian #PSSI https://t.co/c0QPdOZ8yS,0
21,2023-04-03 16:51:38+00:00,Alifamari1,"Dito Ariotedjo Jadi Menteri Menpora Termuda Ternyata Aktivis HMI, Ini Profilnya !
https://t.co/4nlTFdnjl4
#Menpora #menporabaru #pssi #golkar #AirlanggaPresiden #AirlanggaHartarto #ditoariotedjo https://t.co/OXKsTu3uZR",0
22,2023-04-03 13:42:32+00:00,beritajatimcom,"Preseden Buruk Piala Dunia U20 Jangan Berdampak Pada Event Internasional Cabor Lain.

Ketua Komite Olimpiade Indonesia (KOI) Raja Sapta Oktohari sangat berharap preseden buruk yang… https://t.co/gNR2yO2OYx #Olahraga #KomiteOlimpiade #PialaDuniaU20 #pssi via @beritajatimcom",0
23,2023-04-03 13:33:51+00:00,infoahlulbait,"Untung Tim Kolonial ""Israel"" Ditolak Masuk Indonesia, Kalau Tidak...

https://t.co/jAHrO3GzD6

#PSSI #Menpora #Palestine #Palestina #FIFA #Israel https://t.co/BXICdUOx3d",0
24,2023-04-03 13:31:12+00:00,Beritabaruco,Komentar Media Israel-Palestina Soal Indonesia Gagal Jadi Tuan Rumah Piala Dunia U-20 https://t.co/Xcle2XSLYy #FIFA #Israel #Palestina #PialaDuniaU20 #PSSI https://t.co/HFFbEF81In,0
25,2023-04-03 13:17:05+00:00,Beritabaruco,Ini Kata Cristiano Ronaldo Mengenai Penolakan Timnas Israel di Piala Dunia U-20 https://t.co/49RzR4ALrn #CristianoRonaldo #Israel #Palestina #PialaDuniaU20 #PSSI https://t.co/smy0QohrdH,0
26,2023-04-03 13:07:18+00:00,pecadoadamm,"Langsung skakmat tuh dibantah sama pengamat sepak bola😂 makanya jangan langsung marah-marah. Kita harusnya bisa lebih toleransi. Tunjukan bahwa Islam agama yang damai.

#pialadunia #pialaduniau20 #pildun #fifa #timnas #timnasu20 #israel #palestina #politik #agama #pssi https://t.co/jVouDyph7k",0
27,2023-04-03 13:05:17+00:00,porosperlawanan,"Juarai Piala Yasser Arafat 2023, Pemain Timnas Palestina Persembahkan Trofi untuk Indonesia https://t.co/jc0U7UxH6Y
#Israel #USA #Zionist #Zionist #Palestine #Palestina #Palestinian #Palestinians #PSSI #Menpora",0
28,2023-04-03 13:01:32+00:00,mkhayrula,"Prediksi Borneo FC vs Bali United.. misi berat Pesut Etam bangkit di kandang.. berikut prediksinya 

https://t.co/BiwCNlRtsI

#borneofc #BALIUNITEDDAY #BRILiga1 #PSSI #FIFA24",0
29,2023-04-03 12:43:08+00:00,BambangJonn,"Terima kasih pak @erickthohir atas usaha kerasnya untuk sepakbola Indonesia. semoga kejadian ini tidak terulang lagi kedepannya. Aamiin.

#erickthohir #ericksolusi #timnas #pialadunia #Pildun #pialaduniau20 #timnasu20 #fifa #liga1 #Liga2 #liga3 #sepakbola #pssi https://t.co/NDHMGC2NTa",0
30,2023-04-03 12:36:37+00:00,Ongeh87,"Kopi Hitam + Timeline
.
#PSSI #konstitusi #PolitikIdentitas",0
31,2023-04-03 12:33:51+00:00,AnggraRumere,lobi lemah PSSI mengakibatkan Indonesia Batal jadi Host Piala Dunia U-20 #PSSI #TimnasU20 #TimnasIndonesia #pialadunia #FIFA #Israel #kanjuruhan #erickthohir https://t.co/Gm37qHqocB,0
32,2023-04-03 12:32:00+00:00,bolaskorcom,"Shin Tae-yong berharap bisa segera berdiskusi dengan Ketua Umum PSSI perihal kontraknya yang akan habis pada Desember 2023.

#bolaskorcom #shintaeyong #pssi #erickthohir   

https://t.co/kD9ThKSrfD",0
33,2023-04-03 12:29:45+00:00,WalujoRaka,"Inilah dampak batalnya Piala Dunia dan sanksi dari FIFA. Ternyata banyak banget pihak yg bakal rugi. Gak bisa ngomong apa-apa, cuma berdoa agar sepak bola Indonesia bisa cepat bangkit!

#erickthohir #ericksolusi  #ketumpssi #pssi #sepakbola #pialadunia #pialaduniau20 #fifa #liga https://t.co/QHAsCJbSs2",0
34,2023-04-03 12:25:27+00:00,NuriyahTimur,Indonesia batal jadi Tuan Rumah Piala Dunia U-20 karna lemahnya lobi PSSI #PSSI #TimnasU20 #TimnasIndonesia #pialadunia #FIFA #Israel #kanjuruhan #erickthohir https://t.co/gPdH5YweAA,0
35,2023-04-03 12:18:12+00:00,IrawanMerla,Lemahnya lobi PSSI mengakibatkan Batalnya Indonesia sebagai Tuan Rumah Piala Dunia U-20 #PSSI #TimnasU20 #TimnasIndonesia #pialadunia #FIFA #Israel #kanjuruhan #erickthohir https://t.co/jzGVdgThMU,0
36,2023-04-03 12:15:14+00:00,aisyah_neila,PSSI Gagal melobi FIFA agar Piala Dunia berjalan tanpa melanggar konstitusi #PSSI #TimnasU20 #TimnasIndonesia #pialadunia #FIFA #Israel #kanjuruhan #erickthohir https://t.co/qq0EZllENm,0
37,2023-04-03 12:12:41+00:00,askmusemedia,"Dito Ariotedjo resmi dilantik jadi Menteri Pemuda dan Olahraga (Menpora), Senin (3/4/2023). Otomatis Dito jadi menteri termuda di kabinet Indonesia Maju periode 2019-2024 di usia 32 tahun. #KemenporaRI #DitoAriotedjo #PSSI 

Artikel selengkapnya, https://t.co/AoGoHEAyoh https://t.co/Pa60CAxvCS",0
38,2023-04-03 12:12:37+00:00,DadaxEster,PSSI gagal melobi FIFA untuk menjadi tuan rumah Piala Dunia tanpa melanggar konstitusi #PSSI #TimnasU20 #TimnasIndonesia #pialadunia #FIFA #Israel #kanjuruhan #erickthohir https://t.co/qWd41L5jZx,0
39,2023-04-03 12:11:04+00:00,EgoriaAl,PSSI gagal melobi FIFA untuk menjadi tuan rumah Piala Dunia tanpa melanggar konstitusi #PSSI #TimnasU20 #TimnasIndonesia #pialadunia #FIFA #Israel #kanjuruhan #erickthohir https://t.co/nCi1dHEmlc,0
40,2023-04-03 12:09:34+00:00,SantoLeto,PSSI gagal melobi FIFA untuk menjadi tuan rumah Piala Dunia tanpa melanggar konstitusi #PSSI #TimnasU20 #TimnasIndonesia #pialadunia #FIFA #Israel #kanjuruhan #erickthohir https://t.co/Hf6eESvXtP,0
41,2023-04-03 12:04:51+00:00,Ongeh87,"Konstitusi Jelas , Masih Nunggu Arahan ? 
#timnasu20 #PSSI #timnas #PolitikIdentitas",0
42,2023-04-03 12:01:17+00:00,CaesaGaby,Batalnya Indonesia sebagai Tuan Rumah Piala Dunia U-20 bukan Karena Koster #ErickTohir #PSSI #PialaDunia #FIFA #Kanjuruhan #Israel https://t.co/wjrgpllE20,0
43,2023-04-03 11:54:58+00:00,AnnWils01739847,nahkan kebongkar #Erick #ErickTohir #PSSI #PialaDunia #FIFA #Kanjuruhan #Israel https://t.co/0x8BD3fhDp,0
44,2023-04-03 11:53:07+00:00,RachelA12192915,PSSI Gagal melobi FIFA agar Piala Dunia berjalan tanpa melanggar konstitusi #Erick #ErickTohir #PSSI #PialaDunia #FIFA #Kanjuruhan #Israel https://t.co/aEBsNO9ynp,0
45,2023-04-03 11:49:42+00:00,SeratAlam86,"#pssi
#erickthohir https://t.co/lb6sjoo7JU",0
46,2023-04-03 11:27:00+00:00,bolaskorcom,"Shin Tae-yong berharap Justin Hubner, Rafael Struick, dan Ivar Jenner tetap menjadi Warga Negara Indonesia.

#bolaskorcom #shintaeyong #timnasindonesia #pssi 

https://t.co/B1BIxIck1U",0
47,2023-04-03 11:02:06+00:00,FatihChabanto,"Di area Field of Play ada orang tanpa ID Card?

#PSIS #BRILiga1 #PSSI https://t.co/NlG3XLl4GB",1
48,2023-04-03 10:52:16+00:00,TammyRo33785725,haduh pak Arya gimana ini pak Erick? #Erick #ErickTohir #PSSI #PialaDunia #FIFA #Kanjuruhan #Israel https://t.co/n2ApzjTT8Q,0
49,2023-04-03 10:50:20+00:00,TammyRo33785725,haduh pak Arya #Erick #ErickTohir #PSSI #PialaDunia #FIFA #Kanjuruhan #Israel https://t.co/5sPHmBKa0u,0
50,2023-04-03 10:47:39+00:00,CassieW84824518,haduh pak Arya #Erick #ErickTohir #PSSI #PialaDunia #FIFA #Kanjuruhan #Israel https://t.co/Fi96QdJS6M,0
51,2023-04-03 10:47:30+00:00,CassieW84824518,haduh pak Arya #Erick #ErickTohir #PSSI #PialaDunia #FIFA #Kanjuruhan #Israel https://t.co/arGps72PEh,0
